match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
592,2,Rising Pune Supergiants,Royal Challengers Bangalore,20,4,M Ashwin,Ankit Sharma,KW Richardson,0,0,0,0,0,0,0,0,0,M Ashwin,caught,AB de Villiers
593,1,Delhi Daredevils,Mumbai Indians,2,6,Q de Kock,SS Iyer,MJ McClenaghan,0,0,0,0,0,0,0,0,0,Q de Kock,caught,HH Pandya
593,1,Delhi Daredevils,Mumbai Indians,7,6,SS Iyer,SV Samson,HH Pandya,0,0,0,0,0,0,0,0,0,SS Iyer,caught,AT Rayudu
593,1,Delhi Daredevils,Mumbai Indians,8,6,KK Nair,SV Samson,Harbhajan Singh,0,0,0,0,0,0,0,0,0,KK Nair,caught,TG Southee
593,1,Delhi Daredevils,Mumbai Indians,17,4,SV Samson,JP Duminy,MJ McClenaghan,0,0,0,0,0,0,0,0,0,SV Samson,caught,TG Southee
593,2,Mumbai Indians,Delhi Daredevils,2,4,PA Patel,RG Sharma,Mohammed Shami,0,0,0,0,0,0,1,0,1,PA Patel,run out,SS Iyer
593,2,Mumbai Indians,Delhi Daredevils,13,4,RG Sharma,KH Pandya,Z Khan,0,0,0,0,0,0,0,0,0,KH Pandya,run out,Z Khan
593,2,Mumbai Indians,Delhi Daredevils,19,7,KA Pollard,RG Sharma,Z Khan,0,0,0,0,0,0,0,0,0,KA Pollard,caught,CH Morris
593,2,Mumbai Indians,Delhi Daredevils,20,3,RG Sharma,HH Pandya,CH Morris,0,0,0,0,0,0,1,0,1,RG Sharma,run out,P Negi
594,1,Kings XI Punjab,Sunrisers Hyderabad,3,1,M Vijay,M Vohra,B Kumar,0,0,0,0,0,0,0,0,0,M Vijay,caught,NV Ojha
594,1,Kings XI Punjab,Sunrisers Hyderabad,6,5,M Vohra,SE Marsh,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,M Vohra,run out,S Dhawan
594,1,Kings XI Punjab,Sunrisers Hyderabad,10,2,DA Miller,SE Marsh,MC Henriques,0,0,0,0,0,0,0,0,0,DA Miller,caught,NV Ojha
594,1,Kings XI Punjab,Sunrisers Hyderabad,10,6,GJ Maxwell,SE Marsh,MC Henriques,0,0,0,0,0,0,0,0,0,GJ Maxwell,caught,Mustafizur Rahman
594,1,Kings XI Punjab,Sunrisers Hyderabad,20,2,NS Naik,AR Patel,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,NS Naik,caught,MC Henriques
594,2,Sunrisers Hyderabad,Kings XI Punjab,10,5,DA Warner,S Dhawan,Sandeep Sharma,0,0,0,0,0,0,0,0,0,DA Warner,caught,DA Miller
594,2,Sunrisers Hyderabad,Kings XI Punjab,10,6,AP Tare,S Dhawan,Sandeep Sharma,0,0,0,0,0,0,0,0,0,AP Tare,run out,DA Miller
594,2,Sunrisers Hyderabad,Kings XI Punjab,14,6,S Dhawan,EJG Morgan,R Dhawan,0,0,0,0,0,0,0,0,0,S Dhawan,caught,NS Naik
594,2,Sunrisers Hyderabad,Kings XI Punjab,17,7,EJG Morgan,DJ Hooda,MM Sharma,0,0,0,0,0,0,0,0,0,EJG Morgan,caught,M Vohra
594,2,Sunrisers Hyderabad,Kings XI Punjab,17,8,MC Henriques,DJ Hooda,MM Sharma,0,0,0,0,0,0,0,0,0,DJ Hooda,run out,DA Miller
595,1,Royal Challengers Bangalore,Gujarat Lions,2,4,SR Watson,V Kohli,DS Kulkarni,0,0,0,0,0,0,0,0,0,SR Watson,caught,RA Jadeja
595,1,Royal Challengers Bangalore,Gujarat Lions,8,4,AB de Villiers,V Kohli,PV Tambe,0,0,0,0,0,0,0,0,0,AB de Villiers,caught,SK Raina
595,2,Gujarat Lions,Royal Challengers Bangalore,6,2,DR Smith,BB McCullum,KW Richardson,0,0,0,0,0,0,0,0,0,DR Smith,caught,AB de Villiers
595,2,Gujarat Lions,Royal Challengers Bangalore,16,4,SK Raina,KD Karthik,YS Chahal,0,0,0,0,0,0,0,0,0,SK Raina,caught,Iqbal Abdulla
595,2,Gujarat Lions,Royal Challengers Bangalore,20,4,RA Jadeja,KD Karthik,SR Watson,0,0,0,0,0,0,0,0,0,RA Jadeja,caught,KL Rahul
596,1,Rising Pune Supergiants,Kolkata Knight Riders,13,2,AM Rahane,SPD Smith,R Sathish,0,0,0,0,0,0,0,0,0,SPD Smith,run out,R Sathish
